HCP_ID,yearmonth,HCPCS_ code,TRx
HCP_35,202305,J1002,50
HCP_36,202303,J1002,30
HCP_37,202308,J1002,30
HCP_38,202311,J1002,50
HCP_39,202308,J1002,10
HCP_40,202311,J1002,40
HCP_41,202310,J1002,40
HCP_42,202303,J1002,30
HCP_43,202312,J1002,60
HCP_44,202305,J1002,40
HCP_45,202312,J1002,10
HCP_46,202307,J1002,20
HCP_47,202308,J1002,40
HCP_48,202306,J1002,50
HCP_49,202307,J1002,20
HCP_50,202302,J1002,30
HCP_51,202305,J1002,10
HCP_52,202303,J1002,30
HCP_53,202303,J1002,20
HCP_54,202311,J1002,50
HCP_35,202312,J1002,30
HCP_36,202310,J1002,60
HCP_37,202310,J1002,10
HCP_38,202302,J1002,40
HCP_39,202301,J1002,20
HCP_40,202312,J1002,30
HCP_41,202304,J1002,60
HCP_42,202301,J1002,20
HCP_43,202312,J1002,10
HCP_44,202311,J1002,40
HCP_45,202310,J1002,20
HCP_46,202303,J1002,40
HCP_47,202301,J1002,40
HCP_48,202306,J1002,20
HCP_49,202307,J1002,20
HCP_50,202301,J1002,30
HCP_51,202308,J1002,30
HCP_52,202309,J1002,20
HCP_53,202312,J1002,30
HCP_54,202310,J1002,10
HCP_35,202307,J1002,60
HCP_36,202310,J1002,20
HCP_37,202303,J1002,40
HCP_38,202304,J1002,30
HCP_39,202307,J1002,20
HCP_40,202303,J1002,20
HCP_41,202305,J1002,60
HCP_42,202306,J1002,30
HCP_43,202304,J1002,50
HCP_44,202308,J1002,20
HCP_45,202304,J1002,20
HCP_46,202308,J1002,40
HCP_47,202312,J1002,50
HCP_48,202309,J1002,40
HCP_49,202302,J1002,50
HCP_50,202312,J1002,10
HCP_51,202305,J1002,60
HCP_52,202301,J1002,60
HCP_53,202306,J1002,50
HCP_54,202312,J1002,40
HCP_35,202301,J1002,50
HCP_36,202312,J1002,30
HCP_37,202311,J1002,60
HCP_38,202306,J1002,50
HCP_39,202303,J1002,50
HCP_40,202304,J1002,40
HCP_41,202306,J1002,30
HCP_42,202306,J1002,10
HCP_35,202306,J1003,50
HCP_36,202306,J1003,20
HCP_37,202305,J1003,30
HCP_38,202302,J1003,10
HCP_39,202308,J1003,20
HCP_40,202305,J1003,60
HCP_41,202302,J1003,10
HCP_42,202302,J1003,30
HCP_43,202302,J1003,30
HCP_44,202310,J1003,60
HCP_45,202310,J1003,10
HCP_46,202304,J1003,60
HCP_47,202312,J1003,10
HCP_48,202304,J1003,40
HCP_49,202309,J1003,40
HCP_50,202310,J1003,40
HCP_51,202304,J1003,60
HCP_52,202304,J1003,20
HCP_53,202304,J1003,50
HCP_54,202305,J1003,30
HCP_35,202308,J1003,10
HCP_36,202310,J1003,10
HCP_37,202306,J1003,60
HCP_38,202301,J1003,60
HCP_39,202309,J1003,40
HCP_40,202309,J1003,30
HCP_41,202306,J1003,10
HCP_42,202306,J1003,20
HCP_43,202308,J1003,30
HCP_44,202311,J1003,10
HCP_45,202301,J1003,40
HCP_46,202310,J1003,10
HCP_47,202307,J1003,30
HCP_48,202311,J1003,30
HCP_49,202311,J1003,10
HCP_50,202307,J1003,20
HCP_51,202312,J1003,10
HCP_52,202308,J1003,20
HCP_53,202301,J1003,40
HCP_54,202309,J1003,20
HCP_35,202306,J1003,30
HCP_36,202309,J1003,10
HCP_37,202310,J1003,20
HCP_38,202309,J1003,30
HCP_39,202308,J1003,20
HCP_40,202307,J1003,10
HCP_35,202307,J1004,50
HCP_36,202305,J1004,60
HCP_37,202304,J1004,30
HCP_38,202304,J1004,20
HCP_39,202302,J1004,30
HCP_40,202310,J1004,10
HCP_41,202309,J1004,60
HCP_42,202310,J1004,60
HCP_43,202308,J1004,50
HCP_44,202309,J1004,20
HCP_45,202310,J1004,10
HCP_46,202308,J1004,10
HCP_47,202308,J1004,30
HCP_48,202307,J1004,20
HCP_49,202305,J1004,50
HCP_50,202310,J1004,30
HCP_51,202303,J1004,20
HCP_52,202311,J1004,60
HCP_53,202311,J1004,40
HCP_54,202311,J1004,50
HCP_35,202310,J1004,60
HCP_36,202302,J1004,40
HCP_37,202305,J1004,10
HCP_38,202305,J1004,40
HCP_39,202305,J1004,20
HCP_40,202303,J1004,30
HCP_41,202312,J1004,50
HCP_42,202306,J1004,50
HCP_43,202301,J1004,20
HCP_44,202302,J1004,30
HCP_45,202301,J1004,10
HCP_46,202305,J1004,10
HCP_47,202312,J1004,20
HCP_48,202305,J1004,30
HCP_49,202309,J1004,10
